chunk_id,parent_document_id,file_name,doc_type,page_number,source_path
doc_00001_chunk_004,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_005,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_006,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_007,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_008,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_009,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_010,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_011,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_012,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_013,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_014,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_015,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_016,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_017,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_018,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_019,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_020,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_021,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_022,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_023,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_024,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_025,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_026,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_027,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_028,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
